id	k	kh	g	gh	ṅ	c	ch	j	jh	ñ	ṭ	ṭh	ḍ	ḍh	ṇ	t	th	d	dh	n		p	ph	b	bh	m	y		r		l			v	ś	ṣ	s	h
kaithi	𑂍	𑂎	𑂏	𑂐	𑂑	𑂒	𑂓	𑂔	𑂕	𑂖	𑂗	𑂘	𑂙	𑂛	𑂝	𑂞	𑂟	𑂠	𑂡	𑂢		𑂣	𑂤	𑂥	𑂦	𑂧	𑂨		𑂩		𑂪			𑂫	𑂬	𑂭	𑂮	𑂯
sylheti_nagari	ꠇ	ꠈ	ꠉ	ꠊ		ꠌ	ꠍ	ꠎ	ꠏ		ꠐ	ꠑ	ꠒ	ꠓ		ꠔ	ꠕ	ꠖ	ꠗ	ꠘ		ꠙ	ꠚ	ꠛ	ꠜ	ꠝ			ꠞ		ꠟ						ꠡ	ꠢ
chakma	𑄇	𑄈	𑄉	𑄊	𑄋	𑄌	𑄍	𑄎	𑄏	𑄐	𑄑	𑄒	𑄓	𑄔	𑄕	𑄖	𑄗	𑄘	𑄙	𑄚		𑄛	𑄜	𑄝	𑄞	𑄟	𑄠	𑄡	𑄢		𑄣	𑅄		𑄤			𑄥	𑄦
burmese	က	ခ	ဂ	ဃ	င	စ	ဆ	ဇ	ဈ	ဉ	ဋ	ဌ	ဍ	ဎ	ဏ	တ	ထ	ဒ	ဓ	န		ပ	ဖ	ဗ	ဘ	မ	ယ		ရ		လ	ဠ		ဝ	ၐ	ၑ	သ	ဟ
khmer	ក	ខ	គ	ឃ	ង	ច	ឆ	ជ	ឈ	ញ	ដ	ឋ	ឌ	ឍ	ណ	ត	ថ	ទ	ធ	ន		ប	ផ	ព	ភ	ម	យ		រ		ល	ឡ		វ	ឝ	ឞ	ស	ហ
thai	ก	ข	ค	ฆ	ง	จ	ฉ	ช	ฌ	ญ	ฎ	ฐ	ฑ	ฒ	ณ	ด	ถ	ท	ธ	น		บ	ผ	พ	ภ	ม	ย		ร		ล	ฬ		ว	ศ	ษ	ส	ห
lao	ກ	ຂ	ຄ		ງ	ຈ		ຊ								ດ	ຖ	ທ		ນ		ບ	ຜ	ພ		ມ	ຍ		ຣ		ລ			ວ			ສ	ຫ
cham	ꨆ	ꨇ	ꨈ	ꨉ	ꨋ	ꨌ	ꨍ	ꨎ	ꨏ	ꨑ						ꨓ	ꨔ	ꨕ	ꨖ	ꨘ		ꨚ	ꨜ	ꨝ	ꨞ	ꨠ	ꨢ		ꨣ		ꨤ			ꨥ		ꨦ	ꨧ	ꨨ
balinese	ᬓ	ᬔ	ᬕ	ᬖ	ᬗ	ᬘ	ᬙ	ᬚ	ᬛ	ᬜ	ᬝ	ᬞ	ᬟ	ᬠ	ᬡ	ᬢ	ᬣ	ᬤ	ᬥ	ᬦ		ᬧ	ᬨ	ᬩ	ᬪ	ᬫ	ᬬ		ᬭ		ᬮ			ᬯ	ᬰ	ᬱ	ᬲ	ᬳ
javanese	ꦏ	ꦑ	ꦒ	ꦓ	ꦔ	ꦕ	ꦖ	ꦗ	ꦙ	ꦚ	ꦛ	ꦜ	ꦝ	ꦞ	ꦟ	ꦠ	ꦡ	ꦢ	ꦣ	ꦤ	ꦘ	ꦥ	ꦦ	ꦧ	ꦨ	ꦩ	ꦪ		ꦫ		ꦭ			ꦮ	ꦯ	ꦰ	ꦱ	ꦲ
sundanese	ᮊ	ᮮ	ᮌ		ᮍ	ᮎ		ᮏ		ᮑ						ᮒ		ᮓ		ᮔ		ᮕ		ᮘ	ᮽ	ᮙ	ᮚ		ᮛ		ᮜ			ᮝ	ᮯ		ᮞ	ᮠ
kawi	𑼒	𑼓	𑼔	𑼕	𑼖	𑼗	𑼘	𑼙	𑼚	𑼛	𑼜	𑼝	𑼞	𑼟	𑼠	𑼡	𑼢	𑼣	𑼤	𑼥		𑼧	𑼨	𑼩	𑼪	𑼫	𑼬		𑼮		𑼯			𑼱	𑼲	𑼳	𑼴	𑼵
baybayin	ᜃ		ᜄ		ᜅ											ᜆ		ᜇ		ᜈ		ᜉ		ᜊ		ᜋ	ᜌ				ᜎ			ᜏ			ᜐ	ᜑ
buginese	ᨀ		ᨁ		ᨂ	ᨌ				ᨍ						ᨈ		ᨉ		ᨊ		ᨄ		ᨅ		ᨆ	ᨏ		ᨐ		ᨑ			ᨒ			ᨓ	ᨕ
batak	ᯆ		ᯇ		ᯈ	ᯏ		ᯐ		ᯑ						ᯉ	ᯊ	ᯘ		ᯋ		ᯌ	ᯍ	ᯒ		ᯎ			ᯕ		ᯗ			ᯔ			ᯓ	
